text,factcheck_publicprivate,factcheck_violenceform,location,lat,long,date_time,weekday
"Headline: Sexuelle Belästigung und tätlicher Angriff: Bundespolizei stellt Tatverdächtigen und setzt Gewahrsam durch

Description: Am 6. Juli belästigte ein Mann eine Jugendliche am Dortmunder Hauptbahnhof sexuell. Als die Bundespolizisten die Identität des Tatverdächtigen feststellten, sperrte dieser sich gegen die Maßnahmen und versuchte, einen Beamten mit der geballten Faust zu schlagen. Gegen 01:10 Uhr informierte der ...",relationship unclear,"physical violence (e.g. stabbing, rape)",Dortmund,51.5135872,7.465298100000001,2025-07-06 15:48:00,Sunday
"Headline: A 59 bei Langenfeld - Verdacht des versuchten Tötungsdelikts - Mann steuert Pkw mutmaßlich absichtlich in Grünstreifen - Fahrer lebensgefährlich und Frau schwer verletzt - Mordkommission eingerichtet

Description: Gemeinsame Pressemeldung der Staatsanwaltschaft und der Polizei Düsseldorf Tatzeit: Samstag, 05. Juli 2025, 23:47 Uhr Nach bisherigen Erkenntnissen war ein 19-Jähriger Mann mit seiner 18-jährigen Beifahrerin in seinem Pkw auf der A 59 in Richtung Dinslaken unterwegs. In Höhe der Abfahrt ...",private environment,"physical violence (e.g. stabbing, rape)",Düsseldorf,51.2230411,6.7824545,2025-07-06 11:16:00,Sunday
"Headline: Einsatz am Platz der Republik

Description: Am frühen Freitagabend geriet ein 27-Jähriger aus Gera mit seiner 22-jährigen Ex-Freundin auf einem Spielplatz in der Geraer Innenstadt in Streit und beleidigte diese. Die Situation blieb einigen Passanten nicht unbemerkt. Sie forderten den Aggressor auf, die junge Frau in Ruhe zu lassen. Wutentbrannt entfernte sich der Herr einige Meter, nur um mit einer Gruppe Jugendlicher die nächste Auseinandersetzung ...",private environment,"harassment (e.g. verbal, exhibitionism)",Gera,50.8805556,12.08333333,2025-07-06 09:00:00,Sunday
"Headline: 2/2 Sexuelle Belästigung: Alkoholisierter Mann belästigt sexuell Frau im Hauptbahnhof - Festnahme durch Bundespolizei

Description: Nach jetzigem Sachstand der Hamburger Bundespolizei soll am 05.07.2025 gegen 10:36 Uhr ein Mann (Alter: 33 Jahre) eine Frau (Alter: 29 Jahre) im Hamburger Hauptbahnhof sexuell belästigt haben. Der ukrainische Staatsangehörige soll die Geschädigte in der Wandelhalle am Gesäß angefasst und gezielt ...",relationship unclear,"physical violence (e.g. stabbing, rape)",Hamburg,53.5488282,9.987170299999999,2025-07-06 07:44:00,Sunday
"Headline: 1/2 Sexuelle Belästigung: Mann entkleidet sich im ICE und belästigt anschließend Bundespolizistin sexuell

Description: Nach jetzigem Sachstand der Hamburger Bundespolizei soll am 05.07.2025 gegen 06:58 Uhr ein stark alkoholisierter Mann (Alter: 26 Jahre) sich in einem im Bahnhof Harburg auf Gleis 4 stehenden ICE entkleidet haben. Der betroffene Zug fuhr auf der Strecke Hamburg-Dammtor - Basel. Der marokkanische ...",in public,"harassment (e.g. verbal, exhibitionism)",Hamburg,53.5488282,9.987170299999999,2025-07-06 07:40:00,Sunday
"Headline: Frau tätlich angegriffen und später das Handy geraubt

Description: Am 04.07.2025 gegen 12:30 Uhr wurden Polizeibeamte während ihrer Streifentätigkeit von einer Frau angesprochen, die mitteilte, dass sie gegen 09:00 Uhr von einer ihr bekannten männlichen Person in ihrer Wohnung in Bad Salzungen in der Fritz-Wagner-Straße nach einer Auseinandersetzung am Hals gewürgt wurde. Der 41jährige Täter verlies danach die Wohnung der 25jährigen Geschädigten, erschien ...",private environment,"physical violence (e.g. stabbing, rape)",Bad Salzungen,50.814786,10.2327561,2025-07-06 07:33:00,Sunday
"Headline: Wachtberg-Pech: 57-Jähriger in Gewahrsam genommen

Description: Die Polizei hat am Samstagabend (05.07.2025) einen 57-jährigen Mann in Wachtberg-Pech in Gewahrsam genommen. Zuvor hatte seine Ehefrau über den Polizeinotruf Angaben zu einer Bedrohung gemacht. Der 57-Jährige soll sie in der gemeinsamen Wohnung mit einer Schusswaffe bedroht haben, woraufhin sie diese verlassen habe. Bei dem folgenden Polizeieinsatz wurde der 57-Jährige gegen 22:45 Uhr von hinzugezogenen ...",private environment,"harassment (e.g. verbal, exhibitionism)",Bonn,50.73743,7.0982068,2025-07-05 23:26:00,Saturday
"Headline: Exhibitionist belästigt Gäste in einem Eiscafé in der Gelsenkirchener Altstadt

Description: Am Freitag, 04.Juli.2025, gegen 19 Uhr, belästigte ein 51-jähriger männlicher Gelsenkirchener Gäste in einem Eiscafé in der Gelsenkirchener Altstadt. Er zog seine Hose herunter, entblößte sein Geschlechtsteil und forderte anwesende Frauen zu weiteren sexuellen Handlungen auf. Durch anwesende männliche Gäste wurde der alkoholisierte ...",relationship unclear,"harassment (e.g. verbal, exhibitionism)",Gelsenkirchen,51.5187651,7.0838411,2025-07-05 07:51:00,Saturday
"Headline: Vaihingen an der Enz-Horrheim: Exhibitionist an Badesee

Description: Am Freitag (04.07.2025) gegen 15 Uhr meldete ein Zeuge der Polizei, dass an den Seewaldseen bei Horrheim ein älterer Herr exhibitionistische Handlungen vornahm. Er habe nach Angaben mehrerer weiblicher und größtenteils noch minderjähriger Badegäste deutlich wahrnehmbar an seinem Glied manipuliert, wodurch sich die Geschädigten belästigt ...",in public,"harassment (e.g. verbal, exhibitionism)",Ludwigsburg,48.8891149,9.1942834,2025-07-05 07:31:00,Saturday
"Headline: Darmstadt: In Umkleidekabine fotografiert/Polizei nimmt 55-Jährigen fest

Description: Eine 19 Jahre alte Frau bemerkte am Freitagnachmittag (04.07.), kurz vor 15.30 Uhr, dass ein Mann in einer Umkleidekabine des Nordbads in der Alsfelder Straße heimlich Fotos von ihr fertigte. Sie verständigte daraufhin sofort Angestellte des Schwimmbads. Der 55 Jahre alte Verdächtige aus dem ...",in public,"harassment (e.g. verbal, exhibitionism)",Darmstadt,49.8728253,8.6511929,2025-07-04 19:23:00,Friday
